city,dong,dong_subway_count
서울특별시,가락동,5
서울특별시,가산동,1
서울특별시,갈월동,1
서울특별시,갈현동,2
서울특별시,강일동,1
서울특별시,거여동,1
서울특별시,고덕동,1
서울특별시,공덕동,2
서울특별시,공릉동,4
서울특별시,공항동,1
서울특별시,광장동,1
서울특별시,구로동,3
서울특별시,구산동,1
서울특별시,구의동,2
서울특별시,길동,1
서울특별시,길음동,1
서울특별시,남창동,1
서울특별시,노고산동,1
서울특별시,녹번동,2
서울특별시,논현동,2
서울특별시,능동,3
서울특별시,대림동,1
서울특별시,대방동,4
서울특별시,대조동,2
서울특별시,대치동,2
서울특별시,대흥동,1
서울특별시,도곡동,2
서울특별시,도봉동,1
서울특별시,도화동,1
서울특별시,돈의동,1
서울특별시,동교동,1
서울특별시,동자동,1
서울특별시,동작동,2
서울특별시,둔촌동,1
서울특별시,마곡동,2
서울특별시,마장동,1
서울특별시,마천동,1
서울특별시,망원동,1
서울특별시,면목동,3
서울특별시,명일동,2
서울특별시,목동,2
서울특별시,묘동,1
서울특별시,묵동,1
서울특별시,문정동,1
서울특별시,미아동,2
서울특별시,반포동,2
서울특별시,방배동,3
서울특별시,방이동,2
서울특별시,방화동,3
서울특별시,본동,1
서울특별시,봉천동,4
서울특별시,불광동,1
서울특별시,사당동,5
서울특별시,삼성동,3
서울특별시,상계동,6
서울특별시,상도1동,1
서울특별시,상도동,2
서울특별시,상봉동,1
서울특별시,상수동,1
서울특별시,상월곡동,1
서울특별시,상일동,1
서울특별시,서교동,1
서울특별시,서소문동,1
서울특별시,서초동,5
서울특별시,석관동,1
서울특별시,석촌동,1
서울특별시,성내동,1
서울특별시,성산동,2
서울특별시,수서동,1
서울특별시,수유동,1
서울특별시,숭인동,2
서울특별시,신길동,2
서울특별시,신내동,1
서울특별시,신당동,6
서울특별시,신대방동,3
서울특별시,신도림동,2
서울특별시,신림동,5
서울특별시,신사동,4
서울특별시,신설동,2
서울특별시,신정동,3
서울특별시,신천동,4
서울특별시,아현동,2
서울특별시,안국동,1
서울특별시,암사동,1
서울특별시,여의도동,4
서울특별시,역삼동,2
서울특별시,염리동,1
서울특별시,오금동,2
서울특별시,옥수동,1
서울특별시,온수동,1
서울특별시,용답동,3
서울특별시,용두동,1
서울특별시,월계동,1
서울특별시,이태원동,1
서울특별시,일원동,2
서울특별시,자양동,1
서울특별시,잠실동,2
서울특별시,잠원동,2
서울특별시,장안동,1
서울특별시,장지동,2
서울특별시,적선동,1
서울특별시,전농동,1
서울특별시,정동,1
서울특별시,제기동,1
서울특별시,종암동,1
서울특별시,주교동,1
서울특별시,중계동,1
서울특별시,중곡동,1
서울특별시,중화동,1
서울특별시,증산동,2
서울특별시,진관동,1
서울특별시,창동,2
서울특별시,창신동,2
서울특별시,창전동,1
서울특별시,천왕동,1
서울특별시,천호동,3
서울특별시,청담동,1
서울특별시,평동,1
서울특별시,하계동,1
서울특별시,하왕십리동,1
서울특별시,하월곡동,1
서울특별시,한남동,1
서울특별시,합정동,1
서울특별시,행당동,4
서울특별시,현저동,1
서울특별시,홍제동,2
서울특별시,화곡동,3
서울특별시,화양동,3
서울특별시,효창동,1
서울특별시,흑석동,1
서울특별시,흥인동,1
