city,gu,지역내총생산
서울특별시,종로구,31868698
서울특별시,중구,54274488
서울특별시,용산구,12300317
서울특별시,성동구,11657151
서울특별시,광진구,6342279
서울특별시,동대문구,7328160
서울특별시,중랑구,4452719
서울특별시,성북구,6054811
서울특별시,강북구,3207289
서울특별시,도봉구,3352742
서울특별시,노원구,6387713
서울특별시,은평구,4754342
서울특별시,서대문구,8363965
서울특별시,마포구,19474677
서울특별시,양천구,6931171
서울특별시,강서구,17607271
서울특별시,구로구,13816661
서울특별시,금천구,17162843
서울특별시,영등포구,34299880
서울특별시,동작구,6362074
서울특별시,관악구,5836563
서울특별시,서초구,35277030
서울특별시,강남구,69186319
서울특별시,송파구,28617470
서울특별시,강동구,8825479
부산광역시,중구,2973236
부산광역시,서구,3287309
부산광역시,동구,4552679
부산광역시,영도구,2642385
부산광역시,부산진구,8516260
부산광역시,동래구,4063079
부산광역시,남구,5708284
부산광역시,북구,3125859
부산광역시,해운대구,8845460
부산광역시,사하구,6900352
부산광역시,금정구,4492619
부산광역시,강서구,13354327
부산광역시,연제구,6744687
부산광역시,수영구,2575439
부산광역시,사상구,6760826
부산광역시,기장군,5437095
