시,동,병원 수
부산광역시,가야동,1
부산광역시,감만동,1
부산광역시,감전동,2
부산광역시,감천동,3
부산광역시,개금동,7
부산광역시,거제2동,1
부산광역시,거제4동,1
부산광역시,거제동,4
부산광역시,광안1동,1
부산광역시,광안2동,1
부산광역시,광안4동,2
부산광역시,광안동,5
부산광역시,괘법동,1
부산광역시,괴정3동,1
부산광역시,괴정동,3
부산광역시,구서2동,2
부산광역시,구서동,6
부산광역시,구평동,1
부산광역시,구포동,2
부산광역시,금곡동,2
부산광역시,금사동,2
부산광역시,낙민동,1
부산광역시,남산동,3
부산광역시,남천1동,1
부산광역시,남천동,2
부산광역시,다대1동,1
부산광역시,다대동,3
부산광역시,당감동,4
부산광역시,당리동,4
부산광역시,대연4동,1
부산광역시,대연6동,1
부산광역시,대연동,4
부산광역시,대청동,1
부산광역시,덕천1동,1
부산광역시,덕천동,4
부산광역시,덕포동,4
부산광역시,동삼동,1
부산광역시,만덕동,4
부산광역시,명륜동,3
부산광역시,명지동,6
부산광역시,문현동,1
부산광역시,반여동,1
부산광역시,범일동,2
부산광역시,범천동,5
부산광역시,부곡1동,1
부산광역시,부곡2동,1
부산광역시,부곡4동,1
부산광역시,부곡동,3
부산광역시,부암1동,1
부산광역시,부암동,3
부산광역시,부전동,9
부산광역시,사직동,2
부산광역시,삼락동,1
부산광역시,서2동,1
부산광역시,서4동,1
부산광역시,서동,2
부산광역시,송정동,1
부산광역시,수영동,1
부산광역시,수정동,1
부산광역시,신평1동,1
부산광역시,신평동,3
부산광역시,안락동,7
부산광역시,암남동,2
부산광역시,양정동,5
부산광역시,엄궁동,1
부산광역시,연산1동,1
부산광역시,연산4동,1
부산광역시,연산5동,1
부산광역시,연산동,16
부산광역시,영주1동,1
부산광역시,온천1동,2
부산광역시,온천2동,1
부산광역시,온천동,11
부산광역시,용당동,1
부산광역시,용호3동,1
부산광역시,용호동,1
부산광역시,우동,6
부산광역시,장림동,7
부산광역시,장전2동,2
부산광역시,장전동,3
부산광역시,재송1동,1
부산광역시,전포동,2
부산광역시,좌동,4
부산광역시,주례동,3
부산광역시,중동,4
부산광역시,청룡동,1
부산광역시,초량동,2
부산광역시,초읍동,1
부산광역시,하단1동,1
부산광역시,하단2동,1
부산광역시,하단동,9
부산광역시,학장동,6
부산광역시,화명동,1
서울특별시,143(장안4동,1
서울특별시,22(신설동,1
서울특별시,2층/양재동,1
서울특별시,4(신설동,1
서울특별시,45(회기동,1
서울특별시,가락동,5
서울특별시,가리봉동,1
서울특별시,가산동,1
서울특별시,갈현동,1
서울특별시,개봉동,3
서울특별시,개포동,2
서울특별시,거여동,2
서울특별시,고덕동,1
서울특별시,고척동,2
서울특별시,공릉동,1
서울특별시,과해동,1
서울특별시,구로동,3
서울특별시,구산동,2
서울특별시,구의2동,1
서울특별시,구의동,1
서울특별시,길동,2
서울특별시,남가좌동,1
서울특별시,남현동,1
서울특별시,내발산동,5
서울특별시,내자동,1
서울특별시,노고산동,1
서울특별시,노량진동,1
서울특별시,녹번동,2
서울특별시,논현동,16
서울특별시,능동,3
서울특별시,답십리동,4
서울특별시,대림동,1
서울특별시,대조동,2
서울특별시,대치동,4
서울특별시,도곡동,4
서울특별시,도봉동,2
서울특별시,도선동,1
서울특별시,도화동,1
서울특별시,독산4동,1
서울특별시,독산동,4
서울특별시,동교동,1
서울특별시,등촌1동,1
서울특별시,등촌동,7
서울특별시,마곡동,6
서울특별시,마천동,2
서울특별시,마포동,1
서울특별시,망우동,5
서울특별시,망우본동,1
서울특별시,면목동,1
서울특별시,목1동,2
서울특별시,목동,2
서울특별시,무악동,1
서울특별시,문정동,3
서울특별시,미아동,8
서울특별시,반포4동,1
서울특별시,반포동,1
서울특별시,방배1동,1
서울특별시,방배동,8
서울특별시,방이동,2
서울특별시,방학3동,1
서울특별시,방학동,3
서울특별시,방화동,3
서울특별시,번동,4
서울특별시,봉천동,6
서울특별시,북아현동,1
서울특별시,불광동,1
서울특별시,비동,1
서울특별시,사당1동,1
서울특별시,사당동,3
서울특별시,삼성1동,2
서울특별시,삼성동,5
서울특별시,삼전동,2
서울특별시,상계동,9
서울특별시,상도1동,1
서울특별시,상도동,1
서울특별시,상봉동,1
서울특별시,상일동,1
서울특별시,상일제1동,1
서울특별시,서초동,10
서울특별시,석촌동,1
서울특별시,성내동,7
서울특별시,성산동,1
서울특별시,성수2가3동,1
서울특별시,세곡동,1
서울특별시,송정동,1
서울특별시,송파1동,1
서울특별시,송파동,2
서울특별시,수유동,3
서울특별시,숭인동,1
서울특별시,시흥1동,1
서울특별시,시흥동,5
서울특별시,신길동,3
서울특별시,신당동,2
서울특별시,신대방동,3
서울특별시,신림동,7
서울특별시,신사동,8
서울특별시,신설동,2
서울특별시,신수동,2
서울특별시,신월동,2
서울특별시,신정3동,1
서울특별시,신정4동,1
서울특별시,신정동,6
서울특별시,신촌동,1
서울특별시,쌍문동,6
서울특별시,아현동,1
서울특별시,역삼동,4
서울특별시,역촌동,1
서울특별시,연건동,1
서울특별시,연희동,1
서울특별시,염창동,2
서울특별시,오금동,3
서울특별시,오류동,2
서울특별시,용강동,1
서울특별시,용답동,2
서울특별시,용두동,5
서울특별시,월계동,1
서울특별시,응암2동,1
서울특별시,이촌동,1
서울특별시,일원동,1
서울특별시,자양동,3
서울특별시,잠원동,1
서울특별시,장안2동,1
서울특별시,장안동,7
서울특별시,전농동,2
서울특별시,정릉동,2
서울특별시,제기동,2
서울특별시,종암동,2
서울특별시,중계동,1
서울특별시,중곡동,1
서울특별시,중화동,1
서울특별시,지하4층~9층/반포동,1
서울특별시,창5동,1
서울특별시,창동,3
서울특별시,창천동,1
서울특별시,천호동,7
서울특별시,청담동,5
서울특별시,청량리동,1
서울특별시,평동,1
서울특별시,평창동,1
서울특별시,풍납동,3
서울특별시,하왕십리동,1
서울특별시,하월곡동,1
서울특별시,행당동,1
서울특별시,홍은동,2
서울특별시,홍익동,1
서울특별시,홍제동,1
서울특별시,화곡동,12
서울특별시,화양동,3
서울특별시,회기동,2
서울특별시,휘경2동,2
서울특별시,흑석동,1
